Company,Website,Category,City,Country
af83,http://af83.com/,agency,Paris,France
Agorize,http://www.agorize.com/,product,Paris,France
Appaloosa Store,https://www.appaloosa-store.com/,product,Paris,France
Boaterfly,http://www.boaterfly.com/,product,Paris,France
Brand and Celebrities,http://www.brandandcelebrities.com,product,Paris,France
Captain Train,https://www.captaintrain.com/,product,Paris,France
CareerBuilder,http://www.careerbuilder.com,product,Paris,France
CoursAvenue.com,https://www.coursavenue.com/,product,Paris,France
Craftsmen,http://craftsmen.io/,agency,Saint-Etienne,France
Dernier Cri,http://derniercri.io,agency,"Lille, Paris",France
Doctolib,https://www.doctolib.fr/,product,Paris,France
Doumit,http://www.doum.it,agency,Lille,France
Drivy,https://www.drivy.com/,product,Paris,France
EcoTa.co,https://ecota.co,product,Lille,France
Ekylibre,http://ekylibre.com/,product,Pessac,France
Email Hunter,https://emailhunter.co/,product,Lyon,France
Faveod,http://www.faveod.com/,product,Paris,France
Hospimedia,http://www.hospimedia.fr/,product,Lille,France
JobTeaser.com,http://www.jobteaser.com/fr,product,Paris,France
Jumboweb,http://www.jumboweb.fr/,agency,Paris,France
Keycoopt,https://www.keycoopt.com/,product,Lille,France
Kiss Kiss Bank Bank,http://www.kisskissbankbank.com/,product,Paris,France
Le Wagon,http://www.lewagon.org/,bootcamp,"Paris, Lille, Bordeaux",France
LeCollectionist,https://www.lecollectionist.com/,product,Paris,France
Level Up Solutions,http://levups.com/,editor,Aubervilliers,France
LiveMentor,https://www.livementor.com/,product,Paris,France
Localers,https://www.localers.com/,product,Paris,France
LoGeek,http://www.logeek.fr,agency + product,Champdolent,France
MediaTech Solutions,http://www.mediatech-solutions.com/,product,Paris,France
misterbnb,https://www.misterbnb.com/,product,Paris,France
Novelys,http://www.novelys.com/,agency,Strasbourg,France
OnePark,https://www.onepark.fr/,product,Paris,France
Permigo,https://www.permigo.com/,product,Lyon,France
Silicon Salad,http://www.siliconsalad.com,agency,Lille,France
Simplon.co,http://simplon.co/,bootcamp,Montreuil,France
SociAddict,http://www.sociaddict.com/,agency,Paris,France
Studio HB,http://www.studio-hb.com/,agency,Lyon,France
Synbioz,https://www.synbioz.com/,agency,"Lille, Nantes, Paris",France
Teezily,http://teezily.com/,product,Paris,France
Tincy,http://www.tinci.fr/,agency,Paris,France
Vodeclic,http://vodeclic.com/,product,Levallois,France
Weroom,https://www.weroom.com/,product,Paris,France
Wizypay,http://wizypay.com/,product,Paris,France
Yespark,https://www.yespark.fr/,product,Paris,France
